"id","binomial","reference","class","order","family","genus","common_name","location","country","all_countries","latitude","longitude","system","t_realm","t_biome","fw_realm","fw_biome","m_realm","m_ocean","m_biome","units","method","x1950","x1951","x1952","x1953","x1954","x1955","x1956","x1957","x1958","x1959","x1960","x1961","x1962","x1963","x1964","x1965","x1966","x1967","x1968","x1969","x1970","x1971","x1972","x1973","x1974","x1975","x1976","x1977","x1978","x1979","x1980","x1981","x1982","x1983","x1984","x1985","x1986","x1987","x1988","x1989","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013","x2014","x2015"
288,"Branta_bernicla","{Bendt, 2003 #1022}","Aves","Anseriformes","Anatidae","Branta","Light-bellied brent goose / Dark-bellied brent goose","Western Greifswalder Bodden","Germany","Germany",54.25,13.58333,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Yearly maximum number of individuals","Unknown","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","312","387","200","637","300","200","300","287","NULL","300","287","212","137","300","287","212","287","387","200","162","150","187","312","137","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
293,"Branta_canadensis","Replaced with {WWT, 2005 #1009}","Aves","Anseriformes","Anatidae","Branta","Canada goose","UK","United Kingdom","United Kingdom",52.2,-2.2,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Index of abundance","Winter and breeding season count surveys","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9","13","12","16","16","15","25","20","19","19","26","28","32","35","40","42","49","48","58","62","61","73","79","70","70","78","72","61","68","75","95","81","94","90","107","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
297,"Branta_leucopsis","{Scott, 1996 #95}","Aves","Anseriformes","Anatidae","Branta","Barnacle goose / Greenland barnacle goose","East Greenland","Greenland","Greenland",74.10056,-29.39639,"Terrestrial","Nearctic","Tundra","NULL","NULL","NULL","NULL","NULL","Number of individuals","Count/ estimate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","28500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","32000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
300,"Branta_leucopsis","{Scott, 1996 #95}","Aves","Anseriformes","Anatidae","Branta","Barnacle goose / Greenland barnacle goose","Svalbard","Svalbard And Jan Mayen","Svalbard And Jan Mayen",78,20,"Terrestrial","Palearctic","Tundra","NULL","NULL","NULL","NULL","NULL","Number of individuals","Count/ estimate","550","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11400","NULL","12000","NULL","NULL","NULL","13000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
306,"Buteo_lagopus","{NERC Centre for Population Biology, 1999 #524) with data taken from {Heikkila, 1994 #962}","Aves","Falconiformes","Accipitridae","Buteo","Rough-legged hawk / Rough-legged buzzard","Inari-Utsjoki region, E Lapland, Finland","Finland","Finland",69.5,27.5,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Log number of nestlings","Ringing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.9","3.3","2.7","0","1.3","0.7","2.5","0","0.7","5","5.1","2.1","0.7","4","6.1","5.8","0","0.7","2.9","3.3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
308,"Buteo_lagopus","{NERC Centre for Population Biology, 1999 #524) with data taken from {Heikkila, 1994 #962}","Aves","Falconiformes","Accipitridae","Buteo","Rough-legged hawk / Rough-legged buzzard","Western Finnish Lapland","Finland","Finland",68,24,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Log number of nestlings","Ringing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.1","4.4","4.2","0","0","4.3","0","0","3.3","4","3.6","1.1","0","0","4.1","1.3","0","0.7","3.5","4.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
309,"Calidris_temminckii","Replace with {RÖNKÄ, 2006 #1266}","Aves","Charadriiformes","Scolopacidae","Calidris","Temminck's stint","Finnish Bothnian Bay","Finland","Finland",64.41667,23.25,"Freshwater","NULL","NULL","Palearctic","Polar freshwaters","NULL","NULL","NULL","Number of pairs","Survey of sites for displaying males and other signs of nesting behaviour","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","105","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
314,"Carduelis_flammea","{NERC Centre for Population Biology, 1999 #524) with data taken from {Enemar, 1984 #964}","Aves","Passeriformes","Fringillidae","Carduelis","Hoary redpoll / Arctic redpoll / Common redpoll","Ammarnas, Nr Lake Stor-Tjultrasket, Swedish Lapland","Sweden","Sweden",65.96667,16.16667,"Terrestrial","Palearctic","Tundra","NULL","NULL","NULL","NULL","NULL","Number of territories per km2","Census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8","82","15","8","6","13","4","14","79","14","25","22","22","21","40","2","20","14","51","30","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
317,"Circus_aeruginosus","{Gregory, 2001 #1010}","Aves","Falconiformes","Accipitridae","Circus","Western marsh harrier","UK","United Kingdom","United Kingdom",54,-4,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Number of breeding pairs","Common bird survey - observation","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","0","5","7","7","10","15","15","15","20","13","20","25","25","30","35","40","55","60","80","90","115","115","128","165","170","150","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
340,"Delichon_urbicum","{Svensson, 1999 #992}","Aves","Passeriformes","Hirundinidae","Delichon","House martin / Northern house-martin","Sweden","Sweden","Sweden",62,15,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Population index","Unknown","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","117","89","114","98","101","104","105","85","90","97","117","100","83","57","67","57","58","61","53","63","54","67","59","59","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
345,"Emberiza_cirlus","{Gregory, 2001 #1010}","Aves","Passeriformes","Emberizidae","Emberiza","Cirl bunting","UK","United Kingdom","United Kingdom",54,-4,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Number of breeding pairs","Common bird survey - observation","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","330","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","150","70","60","70","60","60","90","120","200","280","330","370","400","350","320","340","450","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
352,"Falco_subbuteo","{Gregory, 2001 #1010}","Aves","Falconiformes","Falconidae","Falco","Hobby","UK","United Kingdom","United Kingdom",54,-4,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Index","Common bird survey - observation","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","100","110","110","120","160","200","200","200","220","230","270","340","350","350","340","400","410","450","520","600","640","800","770","720","680","650","730","900","980","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
358,"Fringilla_montifringilla","{NERC Centre for Population Biology, 1999 #524) with data taken from {Enemar, 1984 #964}","Aves","Passeriformes","Fringillidae","Fringilla","Brambling","Ammarnas, Nr Lake Stor-Tjultrasket, Swedish Lapland","Sweden","Sweden",65.96667,16.16667,"Terrestrial","Palearctic","Tundra","NULL","NULL","NULL","NULL","NULL","Number of territories per km2","Census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","76","45","50","42","51","83","50","42","73","85","140","156","68","50","40","42","40","85","75","52","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
362,"Aquila_fasciata","{Real, 1997 #982}","Aves","Falconiformes","Accipitridae","Aquila","Bonelli's eagle","Provence, France","France","France",43.83333,6.25,"Terrestrial","Palearctic","Mediterranean forests, woodlands and scrub","NULL","NULL","NULL","NULL","NULL","Number of pairs","Annual census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16","15","15","15","15","15","14","14","14","14","14","14","14","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
363,"Aquila_fasciata","{Real, 1997 #982}","Aves","Falconiformes","Accipitridae","Aquila","Bonelli's eagle","Burgos, Spain","Spain","Spain",42.33333,-3.66667,"Terrestrial","Palearctic","Mediterranean forests, woodlands and scrub","NULL","NULL","NULL","NULL","NULL","Number of pairs","Annual census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","21","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15","NULL","NULL","13","12.5","12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
364,"Aquila_fasciata","{Real, 1997 #982}","Aves","Falconiformes","Accipitridae","Aquila","Bonelli's eagle","Navarra, Spain","Spain","Spain",42.75,-1.66667,"Terrestrial","Palearctic","Mediterranean forests, woodlands and scrub","NULL","NULL","NULL","NULL","NULL","Number of pairs","Annual census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4.5","4.5","4","4","3.5","3.5","3.5","3","3","3","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
365,"Aquila_fasciata","{Real, 1997 #982}","Aves","Falconiformes","Accipitridae","Aquila","Bonelli's eagle","Valle Pendes, Spain","Spain","Spain",41.25,1.58333,"Terrestrial","Palearctic","Mediterranean forests, woodlands and scrub","NULL","NULL","NULL","NULL","NULL","Number of pairs","Annual census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14","14","14","14","14","13","12","12","11.5","11","11","11","10","10","10","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
366,"Aquila_fasciata","{Real, 1997 #982} updated with {Carrete, 2002 #1385}","Aves","Falconiformes","Accipitridae","Aquila","Bonelli's eagle","Murcia, Spain","Spain","Spain",38,-1.5,"Terrestrial","Palearctic","Mediterranean forests, woodlands and scrub","NULL","NULL","NULL","NULL","NULL","Number of breeding pairs","Annual census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","37","37","37","35","32","28","26","22","21","17","17","17","17","17","17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
367,"Aquila_fasciata","{Real, 1997 #982}","Aves","Falconiformes","Accipitridae","Aquila","Bonelli's eagle","Castello, Spain","Spain","Spain",40.16667,-0.16667,"Terrestrial","Palearctic","Mediterranean forests, woodlands and scrub","NULL","NULL","NULL","NULL","NULL","Number of pairs","Annual census","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","46","46","43","43","43","40","37.5","36","36","35","33","30","28","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
374,"Luscinia_luscinia","{NERC Centre for Population Biology, 1999 #524) with data taken from {Österlöf, 1982 #1639}","Aves","Passeriformes","Muscicapidae","Luscinia","Thrush nightingale","Sweden","Sweden","Sweden",63,17,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Number of nightingales per 100000 birds ringed","Ringing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","57","67","119","166","74","190","106","216","134","243","192","182","212","273","283","153","176","290","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
375,"Luscinia_luscinia","{Svensson, 1999 #992}","Aves","Passeriformes","Muscicapidae","Luscinia","Thrush nightingale","Sweden","Sweden","Sweden",62,15,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Population index","Unknown","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","101","96","97","95","102","90","121","95","103","96","74","101","110","118","111","93","86","85","73","68","76","68","55","72","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
384,"Milvus_milvus","{NERC Centre for Population Biology, 1999 #524) with data taken from {Davis, 1981 #965}","Aves","Falconiformes","Accipitridae","Milvus","Red kite","Central Wales","United Kingdom","United Kingdom",52.5,-3.75,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL","Number of individuals","Total count","NULL","31","31","28","31","28","25","25","31","26","24","33","38","38","40","44","38","49","52","58","60","59","64","73","78","73","79","86","86","86","98","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
388,"Muscicapa_striata","{NERC Centre for Population Biology, 1999 #524) with data taken from {Österlöf, 1982 #1639}","Aves","Passeriformes","Muscicapidae","Muscicapa","Spotted flycatcher","Sweden","Sweden","Sweden",63,17,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL","Number of flycatchers per 100000 birds ringed","Ringing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","869","1126","1471","947","1001","1301","1203","908","1180","852","806","1107","1001","871","675","862","987","866","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
